,time_period_start,time_period_end,time_open,time_close,price_open,price_high,price_low,price_close,volume_traded,trades_count
0,2017-01-01T00:00:00.0000000Z,2017-01-02T00:00:00.0000000Z,2017-01-01T00:01:08.0000000Z,2017-01-01T23:59:46.0000000Z,966.34,1005.0,960.53,997.75,6850.59330859,5423
1,2017-01-02T00:00:00.0000000Z,2017-01-03T00:00:00.0000000Z,2017-01-02T00:00:05.0000000Z,2017-01-02T23:59:37.0000000Z,997.75,1032.0,990.01,1012.54,8167.38103018,7815
2,2017-01-03T00:00:00.0000000Z,2017-01-04T00:00:00.0000000Z,2017-01-03T00:00:07.0000000Z,2017-01-03T23:59:32.0000000Z,1011.44,1039.0,999.99,1035.24,9089.65802529,7871
3,2017-01-04T00:00:00.0000000Z,2017-01-05T00:00:00.0000000Z,2017-01-04T00:00:03.0000000Z,2017-01-04T23:59:47.0000000Z,1035.51,1139.89,1028.56,1114.92,21562.45697196,15968
4,2017-01-05T00:00:00.0000000Z,2017-01-06T00:00:00.0000000Z,2017-01-05T00:00:00.0000000Z,2017-01-05T23:59:54.0000000Z,1114.38,1136.72,885.41,1004.74,36018.53598384,22504
5,2017-01-06T00:00:00.0000000Z,2017-01-07T00:00:00.0000000Z,2017-01-06T00:00:13.0000000Z,2017-01-06T23:59:49.0000000Z,1004.73,1026.99,871.0,893.89,27916.70309893,18044
6,2017-01-07T00:00:00.0000000Z,2017-01-08T00:00:00.0000000Z,2017-01-07T00:00:00.0000000Z,2017-01-07T23:59:55.0000000Z,894.02,907.05,812.28,906.2,20401.11359103,11474
7,2017-01-08T00:00:00.0000000Z,2017-01-09T00:00:00.0000000Z,2017-01-08T00:00:34.0000000Z,2017-01-08T23:59:54.0000000Z,906.2,941.81,881.3,909.75,8937.49270783,6709
8,2017-01-09T00:00:00.0000000Z,2017-01-10T00:00:00.0000000Z,2017-01-09T00:00:10.0000000Z,2017-01-09T23:59:44.0000000Z,909.8,912.87,875.0,896.23,8716.18294096,5333
9,2017-01-10T00:00:00.0000000Z,2017-01-11T00:00:00.0000000Z,2017-01-10T00:00:19.0000000Z,2017-01-10T23:59:59.0000000Z,896.09,912.47,889.41,905.05,8535.45350061,5378
10,2017-01-11T00:00:00.0000000Z,2017-01-12T00:00:00.0000000Z,2017-01-11T00:00:20.0000000Z,2017-01-11T23:59:24.0000000Z,905.24,918.4,755.0,778.62,35893.76836795,23144
11,2017-01-12T00:00:00.0000000Z,2017-01-13T00:00:00.0000000Z,2017-01-12T00:00:41.0000000Z,2017-01-12T23:59:25.0000000Z,778.7,832.99,751.34,807.47,17400.14155465,14636
12,2017-01-13T00:00:00.0000000Z,2017-01-14T00:00:00.0000000Z,2017-01-13T00:00:12.0000000Z,2017-01-13T23:59:55.0000000Z,807.51,831.4,775.0,825.86,11409.52033002,13108
13,2017-01-14T00:00:00.0000000Z,2017-01-15T00:00:00.0000000Z,2017-01-14T00:00:19.0000000Z,2017-01-14T23:59:07.0000000Z,825.98,837.76,810.0,818.27,6614.71899162,4605
14,2017-01-15T00:00:00.0000000Z,2017-01-16T00:00:00.0000000Z,2017-01-15T00:00:00.0000000Z,2017-01-15T23:59:49.0000000Z,819.52,823.45,808.0,821.86,4231.46390349,5265
15,2017-01-16T00:00:00.0000000Z,2017-01-17T00:00:00.0000000Z,2017-01-16T00:00:13.0000000Z,2017-01-16T23:59:35.0000000Z,821.86,835.0,818.09,831.81,6166.04397741,5367
16,2017-01-17T00:00:00.0000000Z,2017-01-18T00:00:00.0000000Z,2017-01-17T00:00:24.0000000Z,2017-01-17T23:59:39.0000000Z,831.76,908.5,827.0,905.99,12264.16938457,13060
17,2017-01-18T00:00:00.0000000Z,2017-01-19T00:00:00.0000000Z,2017-01-18T00:00:03.0000000Z,2017-01-18T23:59:57.0000000Z,905.95,915.99,851.74,887.7,11181.89887846,11308
18,2017-01-19T00:00:00.0000000Z,2017-01-20T00:00:00.0000000Z,2017-01-19T00:00:03.0000000Z,2017-01-19T23:59:55.0000000Z,887.69,910.0,878.89,901.01,11094.60329761,9553
19,2017-01-20T00:00:00.0000000Z,2017-01-21T00:00:00.0000000Z,2017-01-20T00:00:05.0000000Z,2017-01-20T23:59:29.0000000Z,902.23,902.43,880.0,895.8,6618.62776406,8742
