,time_period_start,time_period_end,time_open,time_close,price_open,price_high,price_low,price_close,volume_traded,trades_count
0,2017-08-16T00:00:00.0000000Z,2017-08-17T00:00:00.0000000Z,2017-08-16T00:00:03.0000000Z,2017-08-16T23:59:54.0000000Z,4154.99,4379.78,3926.06,4378.84,12923.637280535,20109
1,2017-08-17T00:00:00.0000000Z,2017-08-18T00:00:00.0000000Z,2017-08-17T00:00:05.0000000Z,2017-08-17T23:59:47.0000000Z,4361.99,4480.0,4167.21,4276.5,14573.185929087,24217
2,2017-08-18T00:00:00.0000000Z,2017-08-19T00:00:00.0000000Z,2017-08-18T00:00:04.0000000Z,2017-08-18T23:59:42.0000000Z,4260.47,4368.0,3964.96,4100.0,17516.993360747,28607
3,2017-08-19T00:00:00.0000000Z,2017-08-20T00:00:00.0000000Z,2017-08-19T00:00:01.0000000Z,2017-08-19T23:59:47.0000000Z,4100.0,4188.0,3900.0,4099.55,15036.184051122,18663
4,2017-08-20T00:00:00.0000000Z,2017-08-21T00:00:00.0000000Z,2017-08-20T00:00:01.0000000Z,2017-08-20T23:59:58.0000000Z,4091.99,4125.95,4000.0,4058.68,6237.972896316999,10002
5,2017-08-21T00:00:00.0000000Z,2017-08-22T00:00:00.0000000Z,2017-08-21T00:00:00.0000000Z,2017-08-21T23:59:56.0000000Z,4058.64,4080.0,3949.78,3987.52,9782.056594003001,17028
6,2017-08-22T00:00:00.0000000Z,2017-08-23T00:00:00.0000000Z,2017-08-22T00:00:03.0000000Z,2017-08-22T23:59:55.0000000Z,3987.51,4139.31,3600.0,4085.0,23522.758166351003,31318
7,2017-08-23T00:00:00.0000000Z,2017-08-24T00:00:00.0000000Z,2017-08-23T00:00:04.0000000Z,2017-08-23T23:59:49.0000000Z,4078.0,4248.97,4051.94,4115.14,14959.476905935,23811
8,2017-08-24T00:00:00.0000000Z,2017-08-25T00:00:00.0000000Z,2017-08-24T00:00:02.0000000Z,2017-08-24T23:59:39.0000000Z,4121.78,4350.0,4082.57,4300.34,10782.694367377,17626
9,2017-08-25T00:00:00.0000000Z,2017-08-26T00:00:00.0000000Z,2017-08-25T00:00:06.0000000Z,2017-08-25T23:59:57.0000000Z,4308.8,4449.98,4270.0,4355.98,9699.610033736,15891
10,2017-08-26T00:00:00.0000000Z,2017-08-27T00:00:00.0000000Z,2017-08-26T00:00:11.0000000Z,2017-08-26T23:59:58.0000000Z,4348.17,4369.78,4232.43,4333.38,6559.668603745,11262
11,2017-08-27T00:00:00.0000000Z,2017-08-28T00:00:00.0000000Z,2017-08-27T00:00:02.0000000Z,2017-08-27T23:59:57.0000000Z,4333.38,4393.3,4290.32,4337.68,3977.5031427179997,7994
12,2017-08-28T00:00:00.0000000Z,2017-08-29T00:00:00.0000000Z,2017-08-28T00:00:02.0000000Z,2017-08-28T23:59:37.0000000Z,4329.91,4399.72,4169.01,4379.99,8641.002445889,14493
13,2017-08-29T00:00:00.0000000Z,2017-08-30T00:00:00.0000000Z,2017-08-29T00:00:44.0000000Z,2017-08-29T23:59:36.0000000Z,4385.0,4649.78,4336.26,4578.82,11879.184959613,20802
14,2017-08-30T00:00:00.0000000Z,2017-08-31T00:00:00.0000000Z,2017-08-30T00:00:00.0000000Z,2017-08-30T23:59:56.0000000Z,4578.82,4642.22,4479.0,4573.2,8720.03503994,16047
15,2017-08-31T00:00:00.0000000Z,2017-09-01T00:00:00.0000000Z,2017-08-31T00:00:00.0000000Z,2017-08-31T23:59:56.0000000Z,4573.15,4765.21,4566.66,4734.26,8911.412459383,19478
16,2017-09-01T00:00:00.0000000Z,2017-09-02T00:00:00.0000000Z,2017-09-01T00:00:13.0000000Z,2017-09-01T23:59:59.0000000Z,4734.26,4935.0,4671.09,4921.7,15367.529697351001,26908
17,2017-09-02T00:00:00.0000000Z,2017-09-03T00:00:00.0000000Z,2017-09-02T00:00:01.0000000Z,2017-09-02T23:59:57.0000000Z,4921.71,4979.9,4488.5,4599.9,16977.793622248002,29688
18,2017-09-03T00:00:00.0000000Z,2017-09-04T00:00:00.0000000Z,2017-09-03T00:00:13.0000000Z,2017-09-03T23:59:59.0000000Z,4599.9,4700.0,4385.0,4606.26,11224.914556295,22080
19,2017-09-04T00:00:00.0000000Z,2017-09-05T00:00:00.0000000Z,2017-09-04T00:00:02.0000000Z,2017-09-04T23:59:52.0000000Z,4603.68,4613.97,4058.5,4277.0,25051.093183748,43044
20,2017-09-05T00:00:00.0000000Z,2017-09-06T00:00:00.0000000Z,2017-09-05T00:00:01.0000000Z,2017-09-05T23:59:42.0000000Z,4282.53,4474.88,4001.93,4396.52,20884.219693521,30792
21,2017-09-06T00:00:00.0000000Z,2017-09-07T00:00:00.0000000Z,2017-09-06T00:00:12.0000000Z,2017-09-06T23:59:35.0000000Z,4397.38,4649.23,4356.42,4605.8,16634.104205328,25771
22,2017-09-07T00:00:00.0000000Z,2017-09-08T00:00:00.0000000Z,2017-09-07T00:00:07.0000000Z,2017-09-07T23:59:57.0000000Z,4605.81,4674.34,4475.0,4615.0,9254.851426906,17813
23,2017-09-08T00:00:00.0000000Z,2017-09-09T00:00:00.0000000Z,2017-09-08T00:00:04.0000000Z,2017-09-08T23:59:51.0000000Z,4615.0,4679.97,4125.99,4312.0,23693.301622567004,35732
24,2017-09-09T00:00:00.0000000Z,2017-09-10T00:00:00.0000000Z,2017-09-09T00:00:13.0000000Z,2017-09-09T23:59:31.0000000Z,4327.41,4379.78,4164.0,4308.72,9974.388234525999,17679
25,2017-09-10T00:00:00.0000000Z,2017-09-11T00:00:00.0000000Z,2017-09-10T00:00:02.0000000Z,2017-09-10T23:59:57.0000000Z,4322.44,4322.44,4010.0,4226.22,14724.20414386,20432
26,2017-09-11T00:00:00.0000000Z,2017-09-12T00:00:00.0000000Z,2017-09-11T00:00:03.0000000Z,2017-09-11T23:58:28.0000000Z,4226.21,4353.49,4092.4,4207.31,11191.595043844,17682
27,2017-09-12T00:00:00.0000000Z,2017-09-13T00:00:00.0000000Z,2017-09-12T00:00:28.0000000Z,2017-09-12T23:59:53.0000000Z,4198.89,4377.65,4080.0,4172.56,13294.437697403,19286
